SK_ID_CURR,TARGET
100001,1
100005,1
100013,0
100028,0
100038,0
100042,1
100057,1
100065,0
100066,1
100067,1
100074,0
100090,1
100091,1
100092,0
100106,0
100107,1
100109,1
100117,0
100128,1
100141,0
100150,0
100168,1
100169,0
100170,1
100171,1
100172,0
100184,0
100187,1
100212,0
100222,0
100223,1
100232,1
100241,1
100245,1
100253,1
100256,1
100271,0
100278,0
100280,0
100306,0
100311,0
100312,0
100330,1
100331,1
100352,1
100358,1
100367,0
100382,1
100384,0
100385,0
100386,1
100399,1
100404,0
100416,1
100422,0
100426,0
100438,0
100444,0
100445,1
100446,1
100447,0
100450,0
100466,1
100483,0
100484,0
100494,0
100510,0
100512,0
100517,0
100548,0
100551,1
100552,1
100553,1
100561,1
100568,1
100569,1
100591,1
100592,0
100602,0
100607,0
100613,0
100617,1
100618,1
100622,1
100625,1
100677,1
100699,1
100702,0
100711,0
100729,0
100740,1
100744,0
100745,0
100747,1
100751,0
100752,0
100753,1
100754,0
100760,1
100762,0
100763,1
100765,1
100770,0
100772,1
100777,1
100791,1
100792,1
100797,1
100823,0
100826,0
100830,0
100836,1
100872,0
100910,1
100913,0
100918,1
100931,1
100952,0
100953,0
100965,0
100970,0
100982,1
100983,1
100984,0
100987,1
100997,1
100998,1
101002,0
101005,0
101008,0
101020,1
101021,0
101024,1
101025,1
101026,0
101031,0
101041,0
101051,1
101055,0
101056,1
101057,0
101064,0
101079,1
101087,1
101090,1
101092,0
101097,1
101099,0
101107,1
101118,1
101125,1
101126,1
101128,0
101136,1
101140,0
101149,0
101160,0
101169,1
101181,1
101186,1
101190,0
101193,1
101194,1
101198,0
101200,0
101204,1
101211,0
101213,1
101223,0
101225,0
101237,0
101243,0
101244,0
101258,0
101259,1
101268,0
101269,0
101271,1
101279,0
101281,0
101287,0
101292,1
101294,1
101296,0
101297,0
101299,0
101301,1
101305,0
101308,1
101318,0
101327,1
101329,1
101332,0
101337,1
101343,1
101345,1
101346,0
101353,0
101354,1
101355,0
101356,0
101362,0
101363,1
101365,1
101366,1
101367,1
101368,0
101374,1
101380,0
101383,0
101398,0
101399,0
101401,1
101412,1
101426,0
101427,0
101428,1
101429,0
101434,1
101440,1
101448,1
101449,0
101465,0
101467,1
101472,1
101478,0
101497,1
101504,0
101547,0
101548,1
101555,1
101570,0
101572,1
101578,0
101580,1
101588,1
101602,1
101610,0
101614,0
101616,1
101643,1
101644,1
101649,1
101650,1
101665,0
101667,1
101669,0
101674,1
101675,0
101678,0
101682,0
101686,1
101697,1
101700,0
101711,0
101714,1
101715,1
101728,1
101732,0
101757,0
101758,1
101759,1
101762,0
101764,1
101780,1
101784,1
101789,0
101816,0
101819,1
101827,1
101863,0
101867,0
101870,0
101873,1
101878,1
101879,0
101880,0
101887,1
101897,0
101901,1
101903,0
101920,0
101921,0
101922,0
101961,0
101962,1
101971,0
101976,1
102002,1
102005,0
102007,1
102017,1
102019,1
102029,1
102051,0
102052,1
102054,1
102062,0
102067,0
102068,1
102070,0
102090,0
102092,1
102099,0
102100,1
102112,1
102113,0
102122,0
102123,0
102125,0
102126,1
102146,0
102147,1
102151,0
102158,0
102159,1
102162,1
102165,0
102166,1
102174,0
102193,1
102198,1
102205,0
102206,0
102218,0
102221,0
102230,1
102238,0
102248,0
102252,0
102259,0
102262,0
102273,0
102286,0
102293,0
102294,0
102296,0
102298,1
102303,0
102309,1
102315,0
102340,0
102342,0
102344,0
102346,1
102347,0
102374,1
102380,1
102387,0
102393,1
102403,1
102413,1
102414,0
102415,0
102416,0
102439,1
102441,0
102443,0
102444,1
102445,1
102448,1
102449,1
102450,0
102456,0
102458,0
102459,1
102465,1
102470,1
102471,0
102475,1
102476,1
102506,0
102509,0
102519,0
102522,1
102545,1
102549,1
102562,1
102563,0
102568,1
102582,0
102592,1
102597,1
102605,0
102614,0
102617,1
102634,1
102652,0
102655,0
102671,0
102694,0
102701,1
102703,1
102704,0
102713,0
102720,1
102731,1
102733,0
102749,0
102755,0
102763,1
102770,0
102772,1
102799,1
102838,1
102854,0
102862,1
102863,1
102867,0
102868,0
102878,1
102887,1
102898,1
102904,1
102912,1
102919,0
102927,1
102932,1
102933,1
102935,0
102958,1
102969,1
102971,1
102975,0
102979,1
102982,1
102987,0
102989,0
102995,0
102996,0
103000,0
103001,1
103004,0
103010,0
103025,1
103029,0
103046,1
103056,0
103062,0
103078,0
103083,1
103092,1
103096,1
